frs_id,facility_name,facility_name_2,facility_name_3,total_releases_on-off-site_lbs,radius,total_persons,land_area,water_area,pop_density,minority_pop,households,housing_units,households_public_assistance,persons_below_poverty_level,white_pop,pct_wh,african_american_pop,pct_aa,hispanic_origin_pop,pct_hi,asian_pacific_islander_pop,pct_api,american_indian_pop,pct_ai,multiracial_pop,pct_mr,child_5_0_pop,minors_17_0_pop,adults_18_plus_pop,seniors_65_plus_pop,less_than_9th_grade_pop,grades_9_12_pop,high_school_diploma_pop,some_college_pop,bs_ba_more_pop,income_less_15k_house,pct_less_15k,income_15k_25k_house,pct_15k_25k,income_25k_50k_house,pct_25k_50k,income_50k_75k_house,pct_50k_75k,income_greater_75k_house,pct_greater_75k,acs_pop,city_name,county_name,state,tri_facility_id,latitude,longitude,latitude_2,longitude_2
110000490139,PHILLIPS 66 FERNDALE REFINERY,PHILLIPS 66 FERNDALE REFINERY,"PHILLIPS 66 FERNDALE REFINERY.3901 UNICK RD, FERNDALE WASHINGTON 98248 (WHATCOM)",221390.48,5,13829,45.8067,34.7354,301.89,3009,5085,5562,326,3839,11337,0.8198,136,0.0098,1216,0.0879,439,0.0317,886,0.0641,1030,0.0745,941,3698,10131,1672,228,575,2124,2952,2583,602,0.1184,397,0.0781,1085,0.2134,896,0.1762,1783,0.3506,13172,FERNDALE,WHATCOM,WA,98248MBLLC3901U,48.830142,-122.692114,48.83,-122.692
110000490139,PHILLIPS 66 FERNDALE REFINERY,PHILLIPS 66 FERNDALE REFINERY,"PHILLIPS 66 FERNDALE REFINERY.3901 UNICK RD, FERNDALE WASHINGTON 98248 (WHATCOM)",221390.48,1,165,3.0861,0.0057,53.34,33,68,79,1,33,136,0.8242,1,0.0061,14,0.0848,5,0.0303,11,0.0667,12,0.0727,5,30,135,33,2,4,27,45,30,7,0.1029,4,0.0588,17,0.25,10,0.1471,22,0.3235,143,FERNDALE,WHATCOM,WA,98248MBLLC3901U,48.830142,-122.692114,48.83,-122.692
110000490139,PHILLIPS 66 FERNDALE REFINERY,PHILLIPS 66 FERNDALE REFINERY,"PHILLIPS 66 FERNDALE REFINERY.3901 UNICK RD, FERNDALE WASHINGTON 98248 (WHATCOM)",221390.48,3,2573,18.1657,10.5539,141.64,390,1012,1239,32,448,2239,0.8702,12,0.0047,139,0.054,26,0.0101,160,0.0622,136,0.0529,123,544,2029,439,24,85,405,633,461,90,0.0889,60,0.0593,274,0.2708,147,0.1453,342,0.3379,2160,FERNDALE,WHATCOM,WA,98248MBLLC3901U,48.830142,-122.692114,48.83,-122.692
110000490157,BP CHERRY POINT REFINERY,BP CHERRY POINT REFINERY,"BP CHERRY POINT REFINERY.4519 GRANDVIEW RD, BLAINE WASHINGTON 98230 (WHATCOM)",224295.18,5,11871,46.3144,31.6686,256.31,1706,4791,6676,210,2940,10566,0.8901,106,0.0089,751,0.0633,356,0.03,160,0.0135,684,0.0576,723,2728,9142,1852,225,540,2142,2740,2107,496,0.1035,334,0.0697,1272,0.2655,985,0.2056,1535,0.3204,11334,BLAINE,WHATCOM,WA,98248RCCHR4519G,48.8864,-122.7353,48.886,-122.735
110000490157,BP CHERRY POINT REFINERY,BP CHERRY POINT REFINERY,"BP CHERRY POINT REFINERY.4519 GRANDVIEW RD, BLAINE WASHINGTON 98230 (WHATCOM)",224295.18,1,7,3.0485,0.0238,2.23,1,2,3,0,2,7,1,0,0,1,0.1429,0,0,0,0,0,0,0,2,5,1,0,0,1,1,1,0,0,0,0,0,0,1,0.5,1,0.5,6,BLAINE,WHATCOM,WA,98248RCCHR4519G,48.8864,-122.7353,48.886,-122.735
110000490157,BP CHERRY POINT REFINERY,BP CHERRY POINT REFINERY,"BP CHERRY POINT REFINERY.4519 GRANDVIEW RD, BLAINE WASHINGTON 98230 (WHATCOM)",224295.18,3,3812,19.3205,8.6056,197.31,666,1471,2089,33,957,3290,0.8631,45,0.0118,259,0.0679,175,0.0459,60,0.0157,242,0.0635,300,990,2822,432,24,185,683,720,583,181,0.123,65,0.0442,316,0.2148,318,0.2162,449,0.3052,3493,BLAINE,WHATCOM,WA,98248RCCHR4519G,48.8864,-122.7353,48.886,-122.735
110000490549,US OIL & REFINING CO,US OIL & REFINING CO,"US OIL & REFINING CO.3001 MARSHALL AVE, TACOMA WASHINGTON 98421 (PIERCE)",131633.32,5,213069,67.3984,10.9751,3161.33,85394,81556,88657,4164,66542,138079,0.648,20846,0.0978,25768,0.1209,23449,0.1101,4018,0.0189,26677,0.1252,14762,50846,162223,21037,5910,10613,37849,49345,34928,10253,0.1257,8153,0.1,20766,0.2546,16547,0.2029,27315,0.3349,205960,TACOMA,PIERCE,WA,98421SLRFN3001M,47.257694,-122.395259,47.258,-122.395
110000490549,US OIL & REFINING CO,US OIL & REFINING CO,"US OIL & REFINING CO.3001 MARSHALL AVE, TACOMA WASHINGTON 98421 (PIERCE)",131633.32,1,17,2.8063,0.3153,6.09,7,2,2,0,3,10,0.5882,2,0.1176,0,0,1,0.0588,0,0,5,0.2941,0,0,17,0,0,0,2,3,1,1,0.5,0,0,2,1,1,0.5,1,0.5,10,TACOMA,PIERCE,WA,98421SLRFN3001M,47.257694,-122.395259,47.258,-122.395
110000490549,US OIL & REFINING CO,US OIL & REFINING CO,"US OIL & REFINING CO.3001 MARSHALL AVE, TACOMA WASHINGTON 98421 (PIERCE)",131633.32,3,61728,23.8179,4.2868,2591.65,27669,23964,26565,1816,22463,37427,0.6063,7452,0.1207,8017,0.1299,7135,0.1156,1816,0.0294,7898,0.1279,4216,14652,47076,5028,1777,3931,11065,14435,9109,4504,0.1879,2436,0.1017,6005,0.2506,4211,0.1757,6917,0.2886,57400,TACOMA,PIERCE,WA,98421SLRFN3001M,47.257694,-122.395259,47.258,-122.395
110000493555,MARATHON PETROLEUM CO LP OHIO REFINING DIV,MARATHON PETROLEUM CO LP OHIO REFINING DIV,"MARATHON PETROLEUM CO LP OHIO REFINING DIV.2408 GAMBRINUS AVE SW, CANTON OHIO 44706 (STARK)",130575.55,3,50375,28.0664,0.2106,1794.84,9789,20664,23054,1025,23048,41073,0.8153,6652,0.132,1053,0.0209,154,0.0031,216,0.0043,2281,0.0453,3603,12625,37749,7018,1446,3932,15017,9273,3684,4379,0.2119,3562,0.1724,6235,0.3017,3648,0.1765,3294,0.1594,50370,CANTON,STARK,OH,44711SHLND2408G,40.7729,-81.4151,40.773,-81.415
